area_name_en,n_projects,total_units,offplan_units,overdue_units,avg_completion,delivery_rate,latitude,longitude
Al Barsha First,2,577,577,335,47.5,0.0,,
Al Barsha South Fifth,64,17125,12264,2723,45.56,32.81,25.06,55.24
Al Barsha South Fourth,386,69269,37229,13719,68.9,56.74,25.07,55.24
Al Barshaa South Second,18,11210,9843,1986,37.11,27.78,,
Al Barshaa South Third,78,20988,12338,4856,68.01,50.0,25.08,55.23
Al Goze Fourth,1,1821,0,0,100.0,100.0,,
Al Hebiah Fifth,35,15280,3481,8,46.0,8.57,25.02,55.22
Al Hebiah First,18,10341,9667,433,36.72,33.33,,
Al Hebiah Fourth,97,21134,8104,4549,75.58,64.95,25.03,55.24
Al Hebiah Second,19,5042,3420,1989,62.68,42.11,,
Al Hebiah Sixth,14,181,0,0,85.36,64.29,,
Al Hebiah Third,51,8598,2557,0,86.84,82.35,25.02,55.26
Al Jadaf,42,9683,4610,2862,56.86,47.62,25.22,55.33
Al Khairan First,45,18481,7375,595,71.96,62.22,25.2,55.34
Al Kifaf,5,3284,1762,0,59.6,40.0,,
Al Merkadh,133,26761,6104,2161,90.56,82.71,25.18,55.3
Al Safouh First,7,844,477,477,96.57,85.71,,
Al Safouh Second,4,1243,1148,441,47.5,25.0,,
Al Satwa,36,3060,2996,1400,15.08,2.78,25.23,55.27
Al Thanayah Fourth,15,0,0,0,100.0,100.0,,
Al Thanyah Fifth,83,31938,13384,7825,80.25,71.08,25.1,55.17
Al Thanyah First,15,3728,159,0,75.6,73.33,,
Al Thanyah Third,12,2202,281,0,97.5,91.67,25.07,55.14
Al Warsan First,31,8369,3287,2854,72.0,67.74,25.17,55.4
Al Wasl,38,7950,4797,1080,57.84,44.74,25.22,55.26
Al Yelayiss 1,27,0,0,0,33.59,33.33,,
Al Yelayiss 2,42,10931,5004,1046,50.36,42.86,25.01,55.27
Al Yelayiss 4,1,0,0,0,9.0,0.0,,
Al Yufrah 1,24,0,0,0,35.96,16.67,24.92,55.35
Bukadra,22,10572,10572,0,9.95,0.0,,
Burj Khalifa,62,23860,5558,989,74.55,66.13,25.2,55.27
Business Bay,156,64372,25361,6437,75.01,66.03,25.19,55.26
Dubai Investment Park First,14,3593,3201,1198,39.71,14.29,,
Dubai Investment Park Second,30,7689,6165,0,10.3,10.0,24.98,55.18
Ghadeer Al tair,2,0,0,0,22.5,0.0,,
Hadaeq Sheikh Mohammed Bin Rashid,69,19596,12302,926,64.48,47.83,25.18,55.3
Hessyan First,2,448,0,0,100.0,100.0,,
Island 2,5,212,31,0,84.6,80.0,,
Jabal Ali First,135,25170,15585,949,52.54,42.96,25.0,55.13
Jabal Ali Industrial Second,9,3865,2613,0,45.89,33.33,,
Jumeirah First,15,1677,280,183,65.47,60.0,,
Jumeirah Second,11,454,397,113,27.73,18.18,,
Madinat Al Mataar,137,35718,29957,8752,32.28,22.63,24.9,55.16
Madinat Dubai Almelaheyah,45,14856,14321,347,15.87,4.44,25.28,55.26
Madinat Hind 4,46,3920,1832,0,74.87,67.39,25.0,55.3
Marsa Dubai,96,38073,13503,2983,78.75,67.71,25.08,55.14
Me'Aisem First,60,15096,6789,2026,59.0,55.0,25.04,55.19
Me'Aisem Second,7,0,0,0,15.0,0.0,,
Mirdif,5,1594,193,0,80.0,80.0,,
Nad Al Shiba First,41,2876,1297,302,50.02,34.15,25.16,55.34
Nadd Hessa,72,14956,4096,1035,85.26,81.94,25.25,55.4
Palm Deira,103,9198,9198,647,4.5,0.0,25.3,55.34
Palm Jabal Ali,20,0,0,0,2.1,0.0,,
Palm Jumeirah,57,12276,2980,638,73.23,59.65,25.11,55.14
Ras Al Khor Industrial First,3,4003,4003,0,14.33,0.0,,
Saih Shuaib 1,1,0,0,0,0.0,0.0,,
Saih Shuaib 2,15,1558,1388,0,40.47,33.33,,
Trade Center First,4,2557,2009,0,25.0,25.0,,
Trade Center Second,1,754,754,0,0.0,0.0,,
Um Hurair Second,4,215,215,0,25.0,25.0,,
Um Suqaim Third,12,2931,1792,1076,67.58,50.0,,
Wadi Al Safa 2,74,8482,3715,200,79.84,75.68,25.08,55.32
Wadi Al Safa 3,105,13153,11140,2610,34.73,20.0,25.07,55.3
Wadi Al Safa 4,21,14813,14611,653,13.24,4.76,,
Wadi Al Safa 5,139,24476,18337,524,41.78,33.81,25.06,55.29
Wadi Al Safa 6,7,0,0,0,100.0,100.0,,
Wadi Al Safa 7,25,1258,484,11,79.96,72.0,25.06,55.28
Warsan Fourth,45,3713,2343,1033,47.73,33.33,25.16,55.42
World Islands,9,1622,1622,1383,49.89,0.0,,
Zaabeel First,2,2219,1733,0,52.5,50.0,,
Zaabeel Second,8,3378,1384,0,64.25,62.5,,
