quarter_start,year,quarter_number,period_label,year_quarter_sort
2016-01-01,2016,1,2016Q1,20161
2016-04-01,2016,2,2016Q2,20162
2016-07-01,2016,3,2016Q3,20163
2016-10-01,2016,4,2016Q4,20164
2017-01-01,2017,1,2017Q1,20171
2017-04-01,2017,2,2017Q2,20172
2017-07-01,2017,3,2017Q3,20173
2017-10-01,2017,4,2017Q4,20174
2018-01-01,2018,1,2018Q1,20181
2018-04-01,2018,2,2018Q2,20182
2018-07-01,2018,3,2018Q3,20183
2018-10-01,2018,4,2018Q4,20184
2019-01-01,2019,1,2019Q1,20191
2019-04-01,2019,2,2019Q2,20192
2019-07-01,2019,3,2019Q3,20193
2019-10-01,2019,4,2019Q4,20194
2020-01-01,2020,1,2020Q1,20201
2020-04-01,2020,2,2020Q2,20202
2020-07-01,2020,3,2020Q3,20203
2020-10-01,2020,4,2020Q4,20204
2021-01-01,2021,1,2021Q1,20211
2021-04-01,2021,2,2021Q2,20212
2021-07-01,2021,3,2021Q3,20213
2021-10-01,2021,4,2021Q4,20214
2022-01-01,2022,1,2022Q1,20221
2022-04-01,2022,2,2022Q2,20222
2022-07-01,2022,3,2022Q3,20223
2022-10-01,2022,4,2022Q4,20224
2023-01-01,2023,1,2023Q1,20231
2023-04-01,2023,2,2023Q2,20232
2023-07-01,2023,3,2023Q3,20233
2023-10-01,2023,4,2023Q4,20234
2024-01-01,2024,1,2024Q1,20241
2024-04-01,2024,2,2024Q2,20242
2024-07-01,2024,3,2024Q3,20243
2024-10-01,2024,4,2024Q4,20244
2025-01-01,2025,1,2025Q1,20251
2025-04-01,2025,2,2025Q2,20252
2025-07-01,2025,3,2025Q3,20253
2025-10-01,2025,4,2025Q4,20254
