project_id,master_project_en,area_name_en,developer,project_status,project_type_en,percent_completed,no_of_units,no_of_buildings,no_of_villas,no_of_lands,total_assets,project_start_date,project_end_date,start_year,end_year,planned_duration_days,is_ready,is_offplan,is_delivered,is_overdue,is_zombie,months_overdue,progress_band,cohort_median_completion,vs_cohort_pts
426351107,Dubai Studio City,Al Hebiah Second,TECOM Investments,Finished,Standard,100.0,111,1,0,0,112,2022-09-15,2024-09-14,2022.0,2024.0,730.0,True,False,True,False,False,,>70% built,100.0,0.0
411471164,Jabal Ali Village,Jabal Ali First,Nakheel,Active,Standard,79.0,0,0,0,205,205,2022-09-29,2025-12-31,2022.0,2025.0,1189.0,False,True,False,True,False,7.1,>70% built,100.0,-21.0
34098121,DAMAC HILLS 2,Madinat Hind 4,Front Line Investment Management,Finished,Standard,100.0,0,0,0,418,418,2016-12-20,2022-03-21,2016.0,2022.0,1917.0,True,False,True,False,False,,>70% built,100.0,0.0
751875646,DownTown Dubai,Burj Khalifa,Emaar Properties,Active,Standard,6.0,621,1,0,0,622,2025-02-01,2027-11-30,2025.0,2027.0,1032.0,False,True,False,False,False,,<30% built,0.0,6.0
634,Jumeirah Village Circle,Al Barsha South Fourth,Jumeirah Village,Finished,Standard,100.0,65,1,0,0,66,2008-09-01,2013-08-15,2008.0,2013.0,1809.0,True,False,True,False,False,,>70% built,100.0,0.0
556630812,Dubai Sports City,Al Hebiah Fourth,Dubai Sports City,Active,Standard,33.0,1110,2,0,0,1112,2024-06-01,2026-03-30,2024.0,2026.0,667.0,False,True,False,True,False,4.2,30-70% built,8.0,25.0
612886319,Jumeirah Village Triangle,Al Barsha South Fifth,Jumeirah Village,Active,Standard,37.0,263,1,0,0,264,2024-05-15,2026-11-25,2024.0,2026.0,924.0,False,True,False,False,False,,30-70% built,8.0,29.0
760845474,Al Furjan,Jabal Ali First,Al Furjan,Not Started,Standard,0.0,0,0,15,0,15,2025-08-01,2027-04-30,2025.0,2027.0,637.0,False,True,False,False,False,,<30% built,0.0,0.0
831,Dubai Land Residence Complex,Wadi Al Safa 5,Dubai Properties,Finished,Standard,100.0,0,1,0,0,1,2008-12-10,2010-12-31,2008.0,2010.0,751.0,True,False,True,False,False,,>70% built,100.0,0.0
806380170,Palm Deira,Palm Deira,Nakheel,Pending,Standard,0.0,64,1,0,0,65,2025-10-01,2028-09-30,2025.0,2028.0,1095.0,False,True,False,False,False,,<30% built,0.0,0.0
801710051,,Bukadra,Meydan Group,Not Started,Standard,0.0,296,1,0,0,297,2025-09-01,2028-12-31,2025.0,2028.0,1217.0,False,True,False,False,False,,<30% built,0.0,0.0
27136683,,Al Barshaa South Third,Orion Real Estate Development,Finished,Standard,100.0,196,1,0,0,197,2016-01-01,2022-07-15,2016.0,2022.0,2387.0,True,False,True,False,False,,>70% built,100.0,0.0
490578574,Jumeirah Village Circle,Al Barsha South Fourth,Jumeirah Village,Finished,Standard,100.0,507,1,0,0,508,2023-03-23,2024-10-01,2023.0,2024.0,558.0,True,False,True,False,False,,>70% built,48.0,52.0
572541372,Jumeirah Village Circle,Al Barsha South Fourth,Jumeirah Village,Active,Standard,3.0,351,1,0,0,352,2024-04-01,2027-03-31,2024.0,2027.0,1094.0,False,True,False,False,False,,<30% built,8.0,-5.0
581747282,,Al Hebiah Fifth,Wahat Al Jazeera Real Estate,Active,Standard,5.0,96,2,0,0,98,2024-04-22,,2024.0,,,False,True,False,False,False,,<30% built,8.0,-3.0
746208416,,Dubai Investment Park Second,Emaar Development,Not Started,Standard,0.0,0,0,0,178,178,2025-03-13,2029-04-30,2025.0,2029.0,1509.0,False,True,False,False,False,,<30% built,0.0,0.0
31307314,DUBAI HILLS - PARKWAY VISTAS,Hadaeq Sheikh Mohammed Bin Rashid,Dubai Hills Estate,Finished,Standard,100.0,0,0,0,60,60,2016-11-06,2019-08-24,2016.0,2019.0,1021.0,True,False,True,False,False,,>70% built,100.0,0.0
386110372,Dubai Health Care City Phase 2,Al Jadaf,Dubai Healthcare City,Finished,Standard,100.0,126,1,0,0,127,2021-09-01,2022-11-30,2021.0,2022.0,455.0,True,False,True,False,False,,>70% built,100.0,0.0
475,Silicon Oasis,Nadd Hessa,Dubai Integrated Economic Zones,Finished,Standard,100.0,206,2,0,0,208,2007-02-01,2010-05-31,2007.0,2010.0,1215.0,True,False,True,False,False,,>70% built,100.0,0.0
627510787,,Al Yufrah 1,Emaar Development,Active,Standard,8.0,0,0,488,121,609,2024-08-23,2028-08-31,2024.0,2028.0,1469.0,False,True,False,False,False,,<30% built,8.0,0.0
1285,Jumeirah Islands,Al Thanyah Fifth,Nakheel,Conditional Activating,Standard,32.0,1372,4,11,0,1387,2006-01-09,2013-01-01,2006.0,2013.0,2549.0,False,True,False,True,False,163.0,30-70% built,100.0,-68.0
1197,Liwan1,Wadi Al Safa 2,Remraam,Finished,Standard,100.0,67,1,0,0,68,2008-08-04,2016-09-28,2008.0,2016.0,2977.0,True,False,True,False,False,,>70% built,100.0,0.0
553864167,Down Town Jabal Ali,Jabal Ali Industrial Second,Nakheel,Active,Standard,90.0,284,1,0,0,285,2022-10-06,,2022.0,,,False,True,False,False,False,,>70% built,100.0,-10.0
673057641,Palm Deira,Palm Deira,Palm Deira,Active,Standard,9.0,62,1,0,0,63,2024-11-01,2026-04-01,2024.0,2026.0,516.0,False,True,False,True,True,4.1,<30% built,8.0,1.0
24754715,Dubai South Residential District,Madinat Al Mataar,Dubai World Trade Centre,Finished,Standard,100.0,1452,13,0,12,1477,2015-11-01,2020-02-06,2015.0,2020.0,1558.0,True,False,True,False,False,,>70% built,100.0,0.0
27875224,City Walk,Al Wasl,City Walk Residential 1,Finished,Standard,100.0,286,5,0,0,291,2013-05-18,2017-02-07,2013.0,2017.0,1361.0,True,False,True,False,False,,>70% built,100.0,0.0
688752026,,Al Yufrah 1,Emaar Development,Active,Standard,1.0,0,0,290,265,555,2025-02-28,2028-10-31,2025.0,2028.0,1341.0,False,True,False,False,False,,<30% built,0.0,1.0
489582936,Business Park,Zaabeel Second,DHAM (Dubai Holding Asset Management),Active,Standard,14.0,558,3,0,0,561,2023-05-25,2027-02-25,2023.0,2027.0,1372.0,False,True,False,False,False,,<30% built,48.0,-34.0
711087248,Dubai World Central,Madinat Al Mataar,Expo City Real Estate Development,Active,Standard,47.0,288,21,0,0,309,2025-05-01,2027-06-15,2025.0,2027.0,775.0,False,True,False,False,False,,30-70% built,0.0,47.0
31016354,Al Furjan,Jabal Ali First,Al Furjan,Finished,Standard,100.0,273,1,0,0,274,2016-05-15,2018-03-11,2016.0,2018.0,665.0,True,False,True,False,False,,>70% built,100.0,0.0
531714602,Al Furjan,Jabal Ali First,Nakheel,Finished,Standard,100.0,102,1,0,0,103,2023-08-01,,2023.0,,,True,False,True,False,False,,>70% built,48.0,52.0
35238007,DownTown Dubai,Burj Khalifa,Emaar Properties,Finished,Standard,100.0,431,1,0,0,432,2016-09-21,2023-10-30,2016.0,2023.0,2595.0,True,False,True,False,False,,>70% built,100.0,0.0
576549994,Jumeirah Village Triangle,Al Barsha South Fifth,Jumeirah Village,Active,Standard,17.0,185,1,0,0,186,2024-03-06,,2024.0,,,False,True,False,False,False,,<30% built,8.0,9.0
21377043,Silicon Oasis,Nadd Hessa,Dubai Integrated Economic Zones,Finished,Standard,100.0,112,1,0,0,113,2014-06-05,2020-01-20,2014.0,2020.0,2055.0,True,False,True,False,False,,>70% built,100.0,0.0
564313379,Business Bay,Business Bay,Business Bay,Active,Standard,1.0,65,2,0,0,67,2024-07-01,2027-12-31,2024.0,2027.0,1278.0,False,True,False,False,False,,<30% built,8.0,-7.0
1465,DownTown Dubai,Burj Khalifa,Emaar Properties,Pending,Standard,0.0,0,0,0,0,0,,,,,,False,True,False,False,False,,<30% built,,
377175223,Jumeirah Village Circle,Al Barsha South Fourth,Jumeirah Village,Finished,Standard,100.0,96,1,0,0,97,2021-11-01,2023-11-01,2021.0,2023.0,730.0,True,False,True,False,False,,>70% built,100.0,0.0
8546559,DAMAC HILLS,Al Hebiah Third,DAMAC Crescent Properties,Finished,Standard,100.0,0,0,161,166,327,2013-07-01,2018-02-14,2013.0,2018.0,1689.0,True,False,True,False,False,,>70% built,100.0,0.0
910,Silicon Oasis,Nadd Hessa,Dubai Integrated Economic Zones,Finished,Standard,100.0,200,2,0,0,202,2008-10-05,2016-08-17,2008.0,2016.0,2873.0,True,False,True,False,False,,>70% built,100.0,0.0
725769310,Dubai South Residential District,Madinat Al Mataar,Dubai Aviation City Corporation,Active,Standard,37.0,40,1,0,0,41,2024-10-28,2026-07-28,2024.0,2026.0,638.0,False,True,False,True,False,0.2,30-70% built,8.0,29.0
793954686,Dubai Maritime City,Madinat Dubai Almelaheyah,Dubai Maritime City,Pending,Standard,0.0,0,0,0,0,0,2025-09-30,2029-09-30,2025.0,2029.0,1461.0,False,True,False,False,False,,<30% built,0.0,0.0
499507686,Dubai Harbour,Marsa Dubai,Harbour Real Estate,Active,Standard,14.0,646,2,0,0,648,2023-07-01,,2023.0,,,False,True,False,False,False,,<30% built,48.0,-34.0
447744766,TOWN SQUARE,Al Yelayiss 2,Nshama,Finished,Standard,100.0,484,1,0,0,485,2023-02-28,2025-09-30,2023.0,2025.0,945.0,True,False,True,False,False,,>70% built,48.0,52.0
7900151,Palm Jumeirah,Palm Jumeirah,Nakheel,Finished,Standard,100.0,708,1,0,0,709,2013-05-27,2016-11-14,2013.0,2016.0,1267.0,True,False,True,False,False,,>70% built,100.0,0.0
434404087,DownTown Dubai,Burj Khalifa,Emaar Properties,Active,Standard,80.0,35,2,0,0,37,2023-03-21,2024-12-31,2023.0,2024.0,651.0,False,True,False,True,False,19.1,>70% built,48.0,32.0
609940790,Al Furjan,Jabal Ali First,Al Furjan,Active,Standard,40.0,90,1,0,0,91,2024-08-31,2026-08-31,2024.0,2026.0,730.0,False,True,False,False,False,,30-70% built,8.0,32.0
699001247,,Al Hebiah Fifth,Dubai Properties,Not Started,Standard,0.0,0,0,902,40,942,2025-06-30,2028-06-30,2025.0,2028.0,1096.0,False,True,False,False,False,,<30% built,0.0,0.0
669517874,,Wadi Al Safa 4,Majid Al Futtaim Communities,Not Started,Standard,0.0,324,3,0,0,327,2024-12-01,2027-12-30,2024.0,2027.0,1124.0,False,True,False,False,False,,<30% built,8.0,-8.0
43654242,,Mirdif,Dubai Investment Real Estate,Finished,Standard,100.0,407,3,0,0,410,2016-11-21,2020-03-03,2016.0,2020.0,1198.0,True,False,True,False,False,,>70% built,100.0,0.0
659730462,Jumeirah Village Triangle,Al Barsha South Fifth,Nakheel,Active,Standard,13.0,168,1,0,0,169,2024-08-27,2026-10-27,2024.0,2026.0,791.0,False,True,False,False,False,,<30% built,8.0,5.0
372790670,,Wadi Al Safa 5,Emaar Development,Finished,Standard,100.0,0,0,35,17,52,2022-02-10,2024-10-31,2022.0,2024.0,994.0,True,False,True,False,False,,>70% built,100.0,0.0
688502633,International Media Production Zone,Me'Aisem First,DHAM (Dubai Holding Asset Management),Pending,Standard,0.0,60,1,0,0,61,2025-06-01,2026-12-31,2025.0,2026.0,578.0,False,True,False,False,False,,<30% built,0.0,0.0
499374379,SOBHA HARTLAND,Al Merkadh,Sobha,Active,Standard,37.0,342,1,0,0,343,2023-04-17,,2023.0,,,False,True,False,False,False,,30-70% built,48.0,-11.0
525244178,,Me'Aisem Second,Emaar Properties,Active,Standard,34.0,0,0,0,264,264,2023-08-14,,2023.0,,,False,True,False,False,False,,30-70% built,48.0,-14.0
462463162,DownTown Dubai,Burj Khalifa,Emaar Development,Active,Standard,81.0,234,1,0,0,235,2022-12-07,2025-12-31,2022.0,2025.0,1120.0,False,True,False,True,False,7.1,>70% built,100.0,-19.0
245380566,Arjan,Al Barshaa South Third,Liwan,Finished,Standard,100.0,419,2,0,0,421,2019-06-01,2023-01-09,2019.0,2023.0,1318.0,True,False,True,False,False,,>70% built,100.0,0.0
610098793,Motor City,Al Hebiah First,Union Properties PJSC,Active,Standard,6.0,2995,8,0,0,3003,2024-06-01,2028-12-31,2024.0,2028.0,1674.0,False,True,False,False,False,,<30% built,8.0,-2.0
772484436,Majan,Wadi Al Safa 3,Liwan,Not Started,Standard,0.0,349,1,0,0,350,2025-06-01,2028-10-31,2025.0,2028.0,1248.0,False,True,False,False,False,,<30% built,0.0,0.0
757638119,Meydan Racecourse Community,Nad Al Shiba First,Meydan Group,Active,Standard,13.0,41,1,0,0,42,2025-05-01,2026-12-31,2025.0,2026.0,609.0,False,True,False,False,False,,<30% built,0.0,13.0
82811057,Dubai Creek Harbour,Al Khairan First,The Lagoons (Phase 1),Finished,Standard,100.0,160,1,0,0,161,2017-08-15,2025-02-24,2017.0,2025.0,2750.0,True,False,True,False,False,,>70% built,100.0,0.0
30176250,DownTown Dubai,Burj Khalifa,Emaar Properties,Finished,Standard,100.0,137,1,0,0,138,2016-11-01,2022-12-09,2016.0,2022.0,2229.0,True,False,True,False,False,,>70% built,100.0,0.0
555152114,Majan,Wadi Al Safa 3,Liwan,Active,Standard,91.0,87,1,0,0,88,2022-12-07,,2022.0,,,False,True,False,False,False,,>70% built,100.0,-9.0
711209067,LA MER,Jumeirah First,Meraas,Not Started,Standard,0.0,0,0,0,5,5,2025-05-02,2029-03-31,2025.0,2029.0,1429.0,False,True,False,False,False,,<30% built,0.0,0.0
12905715,Jumeirah Village Circle,Al Barsha South Fourth,Jumeirah Village,Finished,Standard,100.0,0,0,22,0,22,2014-06-15,2018-05-01,2014.0,2018.0,1416.0,True,False,True,False,False,,>70% built,100.0,0.0
184,Business Bay,Business Bay,Dubai Properties,Finished,Standard,100.0,188,1,0,0,189,2007-09-18,2010-09-07,2007.0,2010.0,1085.0,True,False,True,False,False,,>70% built,100.0,0.0
773743866,Jumeirah Village Circle,Al Barsha South Fourth,Jumeirah Village,Not Started,Standard,0.0,157,1,0,0,158,2025-08-01,2028-03-31,2025.0,2028.0,973.0,False,True,False,False,False,,<30% built,0.0,0.0
45833762,Jumeirah Village Circle,Al Barsha South Fourth,Nakheel,Finished,Standard,100.0,255,4,0,0,259,2015-11-15,2019-07-28,2015.0,2019.0,1351.0,True,False,True,False,False,,>70% built,100.0,0.0
195314591,Dubai Science Park,Al Barshaa South Second,TECOM Investments,Finished,Standard,100.0,490,1,0,0,491,2018-09-25,2020-12-27,2018.0,2020.0,824.0,True,False,True,False,False,,>70% built,100.0,0.0
