quarter_start,year,quarter_number,period_label,property_type,transaction_group,value_aed,txn_count
2016-01-01,2016,1,2016Q1,Building,Mortgages,590510825.0,256.0
2016-01-01,2016,1,2016Q1,Building,Other,82481178.0,27.0
2016-01-01,2016,1,2016Q1,Building,Sales,985564051.0,363.0
2016-01-01,2016,1,2016Q1,Land,Mortgages,23016071836.0,1192.0
2016-01-01,2016,1,2016Q1,Land,Other,7483181788.0,199.0
2016-01-01,2016,1,2016Q1,Land,Sales,13001259723.0,2344.0
2016-01-01,2016,1,2016Q1,Units,Mortgages,2676484262.0,2094.0
2016-01-01,2016,1,2016Q1,Units,Other,748305986.0,750.0
2016-01-01,2016,1,2016Q1,Units,Sales,7392134181.0,5664.0
2016-04-01,2016,2,2016Q2,Building,Mortgages,955886544.0,325.0
2016-04-01,2016,2,2016Q2,Building,Other,86285354.0,35.0
2016-04-01,2016,2,2016Q2,Building,Sales,1951471941.0,787.0
2016-04-01,2016,2,2016Q2,Land,Mortgages,31161079729.0,1414.0
2016-04-01,2016,2,2016Q2,Land,Other,7098662210.0,223.0
2016-04-01,2016,2,2016Q2,Land,Sales,14767977606.0,2464.0
2016-04-01,2016,2,2016Q2,Units,Mortgages,2810571697.0,1969.0
2016-04-01,2016,2,2016Q2,Units,Other,1124982839.0,1042.0
2016-04-01,2016,2,2016Q2,Units,Sales,11520116943.0,8720.0
2016-07-01,2016,3,2016Q3,Building,Mortgages,1239833452.0,330.0
2016-07-01,2016,3,2016Q3,Building,Other,165113127.0,21.0
2016-07-01,2016,3,2016Q3,Building,Sales,2267650920.0,667.0
2016-07-01,2016,3,2016Q3,Land,Mortgages,18414896348.0,1157.0
2016-07-01,2016,3,2016Q3,Land,Other,4767806661.0,211.0
2016-07-01,2016,3,2016Q3,Land,Sales,12294855063.0,1883.0
2016-07-01,2016,3,2016Q3,Units,Mortgages,2484974505.0,1895.0
2016-07-01,2016,3,2016Q3,Units,Other,573527153.0,545.0
2016-07-01,2016,3,2016Q3,Units,Sales,11720299097.0,7225.0
2016-10-01,2016,4,2016Q4,Building,Mortgages,787390128.0,449.0
2016-10-01,2016,4,2016Q4,Building,Other,433407662.0,58.0
2016-10-01,2016,4,2016Q4,Building,Sales,1813751289.0,768.0
2016-10-01,2016,4,2016Q4,Land,Mortgages,51504997252.0,1385.0
2016-10-01,2016,4,2016Q4,Land,Other,3891961456.0,324.0
2016-10-01,2016,4,2016Q4,Land,Sales,15102017472.0,3191.0
2016-10-01,2016,4,2016Q4,Units,Mortgages,2840964145.0,2064.0
2016-10-01,2016,4,2016Q4,Units,Other,888762500.0,815.0
2016-10-01,2016,4,2016Q4,Units,Sales,10065084671.0,7485.0
2017-01-01,2017,1,2017Q1,Building,Mortgages,1253348833.0,441.0
2017-01-01,2017,1,2017Q1,Building,Other,70266776.0,28.0
2017-01-01,2017,1,2017Q1,Building,Sales,4697882276.0,1997.0
2017-01-01,2017,1,2017Q1,Land,Mortgages,32957212757.0,1369.0
2017-01-01,2017,1,2017Q1,Land,Other,5076461679.0,234.0
2017-01-01,2017,1,2017Q1,Land,Sales,18621387741.0,2848.0
2017-01-01,2017,1,2017Q1,Units,Mortgages,2996649511.0,2260.0
2017-01-01,2017,1,2017Q1,Units,Other,1044836725.0,815.0
2017-01-01,2017,1,2017Q1,Units,Sales,14556749479.0,10276.0
2017-04-01,2017,2,2017Q2,Building,Mortgages,1250665005.0,472.0
2017-04-01,2017,2,2017Q2,Building,Other,26719908.0,15.0
2017-04-01,2017,2,2017Q2,Building,Sales,2229162901.0,907.0
2017-04-01,2017,2,2017Q2,Land,Mortgages,24906273752.0,1253.0
2017-04-01,2017,2,2017Q2,Land,Other,2257815741.0,198.0
2017-04-01,2017,2,2017Q2,Land,Sales,13030807010.0,2140.0
2017-04-01,2017,2,2017Q2,Units,Mortgages,2753347961.0,2097.0
2017-04-01,2017,2,2017Q2,Units,Other,618729173.0,520.0
2017-04-01,2017,2,2017Q2,Units,Sales,9555681434.0,7660.0
2017-07-01,2017,3,2017Q3,Building,Mortgages,1237779721.0,325.0
2017-07-01,2017,3,2017Q3,Building,Other,71466000.0,31.0
2017-07-01,2017,3,2017Q3,Building,Sales,1866854388.0,795.0
2017-07-01,2017,3,2017Q3,Land,Mortgages,31728689879.0,1341.0
2017-07-01,2017,3,2017Q3,Land,Other,3972126008.0,171.0
2017-07-01,2017,3,2017Q3,Land,Sales,10853043033.0,1618.0
2017-07-01,2017,3,2017Q3,Units,Mortgages,3149067813.0,2141.0
2017-07-01,2017,3,2017Q3,Units,Other,1302721430.0,825.0
2017-07-01,2017,3,2017Q3,Units,Sales,12789784042.0,9391.0
2017-10-01,2017,4,2017Q4,Building,Mortgages,919907114.0,368.0
2017-10-01,2017,4,2017Q4,Building,Other,46432342.0,18.0
2017-10-01,2017,4,2017Q4,Building,Sales,1456710030.0,658.0
2017-10-01,2017,4,2017Q4,Land,Mortgages,30997461296.0,1472.0
